variant,weights_path,int_scale,decay,reset_mode,convert_ok,sim_ok,accuracy_percent,notes,log_path
baseline_hw,/home/e20439/e20-4yp-onchip-offline-neuromorphic-computing/RISC_V/c_program/best_weights_hw.txt,256.0,lif24,zero,1,0,,sim failed (rc=127); missing VCS runtime libs (LD_LIBRARY_PATH/module load),/home/e20439/e20-4yp-onchip-offline-neuromorphic-computing/RISC_V/c_program/ablation_logs/baseline_hw_sim.log
replay32_lutdump,/home/e20439/e20-4yp-onchip-offline-neuromorphic-computing/RISC_V/c_program/best_weights_hw_replay32.txt,256.0,lif24,zero,1,0,,sim failed (rc=127); missing VCS runtime libs (LD_LIBRARY_PATH/module load),/home/e20439/e20-4yp-onchip-offline-neuromorphic-computing/RISC_V/c_program/ablation_logs/replay32_lutdump_sim.log
replay32_spikeapprox,/home/e20439/e20-4yp-onchip-offline-neuromorphic-computing/RISC_V/c_program/best_weights_hw_replay32_spikeapprox.txt,256.0,lif24,zero,1,0,,sim failed (rc=127); missing VCS runtime libs (LD_LIBRARY_PATH/module load),/home/e20439/e20-4yp-onchip-offline-neuromorphic-computing/RISC_V/c_program/ablation_logs/replay32_spikeapprox_sim.log
baseline_hw_scale_stress_int1,/home/e20439/e20-4yp-onchip-offline-neuromorphic-computing/RISC_V/c_program/best_weights_hw.txt,1.0,lif24,zero,0,0,,convert failed (rc=1),/home/e20439/e20-4yp-onchip-offline-neuromorphic-computing/RISC_V/c_program/ablation_logs/baseline_hw_scale_stress_int1_convert.log
